batch,cell_id,commit,device,diffusion,dimension,ess_threshold,family,final_ess_fraction,groups,initialization,integrability_certificate,kind,ks_mean,mean_absolute_error,method,minimum_ess_fraction,particles,peak_gpu_bytes,positive_mass_error,recorded_ks_mean,recorded_mean_absolute_error,recorded_positive_mass_error,recorded_variance_relative_error,recorded_w1_mean,relative_path,resampling_count,sampling,score_evaluations,seconds,seed,status,steps,u_max,variance_relative_error,w1_mean
2,400,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,mixture,0.46858175073109865,64,standard normal at finite u_max,finite,oracle,0.6624777123171399,1.3652538180960898,tail,0.00012549784566482635,8192,24014848,0.5974265564688812,0.6624776845909083,1.3652538180960894,0.5974265564688828,0.9909412016212098,1.4561435310848758,oracle/task_000/cell_0400,158,without_replacement,8388608,1.0270596677437425,0,completed,512,20.0,0.9909412016212098,1.4561435044231654
4,440,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,mixture,0.7095872306825167,64,standard normal at finite u_max,finite,oracle,0.6757301515008758,1.525770955042898,tail,0.0001221361771414982,8192,41971712,0.6461398347033216,0.6757301691240452,1.5257709550428982,0.6461398347033248,0.9957148463614578,1.561069379226975,oracle/task_000/cell_0440,142,without_replacement,16777216,1.0337377600371838,3,completed,512,20.0,0.9957148463614578,1.5610693135103515
8,480,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,mixture,0.9686014233769443,64,standard normal at finite u_max,finite,oracle,0.6002102102956307,1.469712351300646,tail,0.0012941708021326401,8192,77885440,0.5974265564688811,0.6002102330364258,1.4697123513006458,0.5974265564688832,0.9889204276898677,1.4718929800227292,oracle/task_000/cell_0480,260,without_replacement,134217728,3.93474102858454,1,completed,2048,20.0,0.9889204276898677,1.4718924604525552
4,520,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,1,0.5,weak_mixture,0.8326399833862026,64,standard normal at finite u_max,finite,oracle,0.01087096315180347,0.008629391637875176,full,0.49516082654371246,8192,42406912,0.005479801681517293,0.010870964698018182,0.00862939163787528,0.005479801332176515,0.003726990893786253,0.010087867864118132,oracle/task_000/cell_0520,1,with_replacement,268435456,0.5606677504256368,0,completed,512,20.0,0.0037269908937856977,0.01008676778636903
2,560,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,1,0.5,weak_mixture,0.6784128454868547,64,standard normal at finite u_max,infinite,oracle,0.05273987112760581,0.05903589673161594,unbiased,0.47000871912546655,8192,2821632,0.04332877330708007,0.05273986222562976,0.05903589673161605,0.04332877295773907,0.12406199483239622,0.05912628008937215,oracle/task_000/cell_0560,2,with_replacement,8388608,0.7095849504694343,3,completed,512,20.0,0.12406199483239622,0.05912726335672956
4,600,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,1,0.5,weak_mixture,0.9036856716498167,64,standard normal at finite u_max,infinite,oracle,0.020739891988225567,0.019098722355625382,unbiased,0.49834580059652855,8192,5180928,0.015069887017808647,0.02073990486628019,0.01909872235562527,0.015069887367149426,0.054973743343280757,0.019928276785328776,oracle/task_000/cell_0600,1,with_replacement,67108864,2.824556525796652,1,completed,2048,20.0,0.05497374334328042,0.01992987291633525
8,640,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,1,0.5,weak_mixture,0.9068067628209608,64,standard normal at finite u_max,infinite,oracle,0.012166209345560175,0.003245440594823061,unbiased,0.4998562762712911,8192,9899520,0.006391478397622219,0.012166232048657272,0.0032454405948229587,0.0063914787469631085,0.046087290290678484,0.0107836704372072,oracle/task_000/cell_0640,1,with_replacement,134217728,2.8162242053076625,4,completed,2048,20.0,0.04608729029067826,0.010785363146080827
2,680,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,weak_mixture,0.985135112724394,64,standard normal at finite u_max,infinite,oracle,0.03804903184058013,0.03806086381314371,unbiased,0.452698356339957,8192,24014848,0.031218324087069704,0.038049028723201074,0.03806086381314373,0.031218323999734517,0.056285981760843914,0.039928210408579135,oracle/task_000/cell_0680,5,without_replacement,8388608,0.7003499148413539,2,completed,512,20.0,0.05628598176084375,0.03992762151171708
4,720,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,weak_mixture,0.5872423607774708,64,standard normal at finite u_max,infinite,oracle,0.05176113663551204,0.05088969755521501,unbiased,0.4918233403973069,8192,41971712,0.04248306311380881,0.05176113693041516,0.05088969755521501,0.042483063113808714,0.07842715905001811,0.055646540217011126,oracle/task_000/cell_0720,4,without_replacement,67108864,2.771115561015904,0,completed,2048,20.0,0.07842715905001824,0.055646951755190424
8,760,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,weak_mixture,0.8843072065119195,64,standard normal at finite u_max,infinite,oracle,0.017142007520622102,0.01386408361116064,unbiased,0.4952176181026463,8192,77885440,0.010329601256088547,0.017142010772076992,0.013864083611160613,0.01032960125608852,0.045422529053808836,0.01759500302540249,oracle/task_000/cell_0760,4,without_replacement,134217728,2.856725312769413,3,completed,2048,20.0,0.045422529053809016,0.01759607884199373
