family,groups,dimension,steps,batch,finite_normalizer,failure_step,coordinate_terminal_variance
gaussian,64,8,512,62,True,0,"[0.01453819999827423, 0.014538790417834395, 0.014538687268473946, 0.014538447867644178, 0.01453883224240732, 0.014538522839795074, 0.014538634563165736, 0.014538812723751663]"
gaussian,64,8,512,63,True,0,"[0.014382247529766723, 0.014382080353117657, 0.014382164962528244, 0.01438223274829628, 0.014381966252437423, 0.014382220044405846, 0.014382188410225212, 0.014382042271874812]"
gaussian,64,8,512,64,True,0,"[0.014233574818721787, 0.01423357481872177, 0.014233574818721778, 0.014233574818721806, 0.014233574818721804, 0.014233574818721794, 0.014233574818721787, 0.01423357481872177]"
gaussian,64,8,2048,2,False,1433,
gaussian,64,8,2048,3,False,1434,
gaussian,64,8,2048,4,False,1434,
gaussian,64,8,2048,5,False,1435,
gaussian,64,8,2048,6,False,1436,
gaussian,64,8,2048,7,False,1436,
gaussian,64,8,2048,8,False,1437,
gaussian,64,8,2048,9,False,1439,
gaussian,64,8,2048,10,False,1440,
gaussian,64,8,2048,11,False,1441,
gaussian,64,8,2048,12,False,1443,
gaussian,64,8,2048,13,False,1445,
gaussian,64,8,2048,14,False,1447,
gaussian,64,8,2048,15,False,1449,
gaussian,64,8,2048,16,False,1451,
gaussian,64,8,2048,17,False,1453,
gaussian,64,8,2048,18,False,1456,
gaussian,64,8,2048,19,False,1459,
gaussian,64,8,2048,20,False,1461,
gaussian,64,8,2048,21,False,1465,
gaussian,64,8,2048,22,False,1468,
gaussian,64,8,2048,23,False,1471,
gaussian,64,8,2048,24,False,1475,
gaussian,64,8,2048,25,False,1479,
gaussian,64,8,2048,26,False,1483,
gaussian,64,8,2048,27,False,1487,
gaussian,64,8,2048,28,False,1491,
gaussian,64,8,2048,29,False,1496,
gaussian,64,8,2048,30,False,1501,
gaussian,64,8,2048,31,False,1506,
gaussian,64,8,2048,32,False,1512,
gaussian,64,8,2048,33,False,1517,
gaussian,64,8,2048,34,False,1524,
gaussian,64,8,2048,35,False,1530,
gaussian,64,8,2048,36,False,1537,
gaussian,64,8,2048,37,False,1544,
gaussian,64,8,2048,38,False,1551,
gaussian,64,8,2048,39,False,1559,
gaussian,64,8,2048,40,False,1567,
gaussian,64,8,2048,41,False,1576,
gaussian,64,8,2048,42,False,1585,
gaussian,64,8,2048,43,False,1595,
gaussian,64,8,2048,44,False,1606,
gaussian,64,8,2048,45,False,1617,
gaussian,64,8,2048,46,False,1629,
gaussian,64,8,2048,47,False,1642,
gaussian,64,8,2048,48,False,1655,
gaussian,64,8,2048,49,False,1670,
gaussian,64,8,2048,50,False,1686,
gaussian,64,8,2048,51,False,1704,
gaussian,64,8,2048,52,False,1724,
gaussian,64,8,2048,53,False,1746,
gaussian,64,8,2048,54,False,1771,
gaussian,64,8,2048,55,False,1801,
gaussian,64,8,2048,56,False,1836,
gaussian,64,8,2048,57,False,1882,
gaussian,64,8,2048,58,False,1955,
gaussian,64,8,2048,59,True,0,"[0.01686683714480631, 0.01684740178696369, 0.016857181259003227, 0.01686510289695932, 0.016834291195295715, 0.016863613635978547, 0.016859910145762914, 0.01684301623941455]"
gaussian,64,8,2048,60,True,0,"[0.014893870951247489, 0.014897239092273584, 0.014896649792699154, 0.014895283273702745, 0.014897478127427125, 0.014895711041199865, 0.014896348803285402, 0.014897366568357192]"
gaussian,64,8,2048,61,True,0,"[0.01456042858590475, 0.014559892849462155, 0.014560163986848331, 0.014560381216040195, 0.014559527214830548, 0.014560340504303193, 0.014560239127898437, 0.01455977081720077]"
gaussian,64,8,2048,62,True,0,"[0.014396270822789277, 0.014396857713748854, 0.014396755180725975, 0.014396517210570533, 0.01439689928842718, 0.014396591734651942, 0.014396702790363102, 0.014396879886391023]"
gaussian,64,8,2048,63,True,0,"[0.014241260636126846, 0.014241094453428884, 0.014241178559756096, 0.014241245942527925, 0.01424098103130581, 0.01424123331416025, 0.014241201868047575, 0.014241056598639975]"
gaussian,64,8,2048,64,True,0,"[0.014093472454395954, 0.01409347245439594, 0.014093472454395958, 0.014093472454395944, 0.01409347245439594, 0.014093472454395921, 0.01409347245439594, 0.01409347245439595]"
weak_mixture,16,1,128,2,False,127,
weak_mixture,16,1,128,3,True,0,[3.320034947505145]
weak_mixture,16,1,128,4,True,0,[0.5967095333857558]
weak_mixture,16,1,128,5,True,0,[0.4553132150459375]
weak_mixture,16,1,128,6,True,0,[0.34015202555384483]
weak_mixture,16,1,128,7,True,0,[0.30617832163614567]
weak_mixture,16,1,128,8,True,0,[0.27763385917291783]
weak_mixture,16,1,128,9,True,0,[0.26602749705704265]
weak_mixture,16,1,128,10,True,0,[0.2538015368781062]
weak_mixture,16,1,128,11,True,0,[0.2447046725478783]
weak_mixture,16,1,128,12,True,0,[0.23471756445461497]
weak_mixture,16,1,128,13,True,0,[0.22693998854249237]
weak_mixture,16,1,128,14,True,0,[0.21925856222502568]
weak_mixture,16,1,128,15,True,0,[0.21303753639419373]
weak_mixture,16,1,128,16,True,0,[0.2074995974121395]
weak_mixture,16,1,512,2,True,0,[0.8307339434965572]
weak_mixture,16,1,512,3,True,0,[0.6965503738627468]
weak_mixture,16,1,512,4,True,0,[0.4339069210244173]
weak_mixture,16,1,512,5,True,0,[0.3757341152209932]
weak_mixture,16,1,512,6,True,0,[0.312025986548624]
weak_mixture,16,1,512,7,True,0,[0.2894430082341005]
weak_mixture,16,1,512,8,True,0,[0.268918910017381]
weak_mixture,16,1,512,9,True,0,[0.25921699654353497]
