family,groups,dimension,steps,display_method,batch,particles,u_max,cells,finite,w1_mean_mean,w1_mean_std,w1_mean_median,ks_mean_mean,ks_mean_std,ks_mean_median,seconds_mean,seconds_std,seconds_median
gaussian,64,8,512,Tail-WR,4,32768,20.0,5,5,0.01613414242836324,0.004647172983880303,0.0165821175216978,0.06111402422166966,0.017558665315518977,0.0621459982478399,1.2831464417278766,0.0042246618172520605,1.2851290963590143
gaussian,64,8,512,Tail-WR,4,131072,20.0,5,5,0.015148756351309658,0.002639107810285856,0.0149847125889769,0.056938481002521,0.009750490890201748,0.0545710331779273,3.899774796376005,0.030391018955041232,3.87909022718668
gaussian,64,8,512,Tail-WR,8,8192,20.0,5,5,0.01694624280281236,0.004711475368106399,0.0161607095016993,0.06318921945640973,0.016674039197685522,0.0602575339769939,1.0228231899440288,0.024120524956086624,1.0317301154136658
gaussian,64,8,512,U-WOR,2,8192,20.0,5,0,0.047037672240815176,0.008745796176832915,0.0471673915292539,0.199145656813633,0.03392307395150262,0.2018844871918049,0.8170589187648147,0.027255281076748624,0.8216355049517006
gaussian,64,8,512,U-WOR,4,8192,10.0,5,0,0.05580879906868014,0.01124310081687229,0.0602849140092809,0.23440941571967358,0.04551802117022939,0.2476342335385753,0.825317169725895,0.004361431169754197,0.8278416097164154
gaussian,64,8,512,U-WOR,4,8192,20.0,5,0,0.04357532519895142,0.009067365210971828,0.0399280477428466,0.18049625744829512,0.03367407245485852,0.171296153316643,0.8073013182729483,0.043762202883473454,0.7838349789381027
gaussian,64,8,512,U-WOR,4,8192,30.0,5,0,0.06546186973398493,0.02307758697923125,0.0586332413649288,0.28481486007678897,0.11501540668932743,0.253259723109173,0.7700879104435444,0.009615025068764807,0.7639272511005402
gaussian,64,8,512,U-WOR,4,32768,20.0,5,0,0.04373563266595796,0.009128734511041889,0.0396674900254983,0.17793372859730844,0.03316924227364383,0.1578717038708285,1.333789549767971,0.0040364188169268326,1.3320538997650146
gaussian,64,8,512,U-WOR,4,131072,20.0,5,0,0.04383259757455898,0.011496202411590653,0.0423870103924703,0.17841983173850356,0.0506322389444175,0.1806966276943931,4.294455218315124,0.0272530424430819,4.311702184379101
gaussian,64,8,512,U-WOR,8,8192,20.0,5,0,0.036865865560042954,0.002629520728788096,0.0357910720782607,0.1561906148720678,0.010981675728107041,0.1522041497867709,0.804434531647712,0.003579050653779734,0.8055121679790318
gaussian,64,8,512,U-WR,2,8192,20.0,5,0,0.043298388423961595,0.004676048847033412,0.0426503508066084,0.17613608907710476,0.022212782520100893,0.1778272454961387,0.8258063212037087,0.013356937957591386,0.8254545666277409
gaussian,64,8,512,U-WR,4,8192,10.0,5,0,0.04978131705641502,0.02497203398361431,0.0434536057571852,0.205441823080716,0.11229129933374396,0.1792245886487792,0.8665255837142467,0.03147319457183707,0.8880739808082581
gaussian,64,8,512,U-WR,4,8192,20.0,5,0,0.053552319277055116,0.015212577035640903,0.0501220515466867,0.22867231530576254,0.06500310016323191,0.2094967694603035,0.8074362553656101,0.015333609888182569,0.7992615699768066
gaussian,64,8,512,U-WR,4,8192,30.0,5,0,0.056033180657784065,0.011250253324381053,0.0515996302596675,0.24487384165148446,0.04084469681751476,0.2436782922067672,0.7791148573160172,0.004862282297842012,0.7814025282859802
gaussian,64,8,512,U-WR,4,32768,20.0,5,0,0.0460974219133489,0.01743791068586762,0.0428976393221507,0.1957264373021958,0.08052763779005517,0.1809044478526696,1.182073360681534,0.0068170221137932915,1.1780218482017517
gaussian,64,8,512,U-WR,4,131072,20.0,5,0,0.04376786484905944,0.012884428715177322,0.0401248260369366,0.17773580720947718,0.0559699446695015,0.1683275267276899,3.4507989048957826,0.014295752467165268,3.4570883065462112
gaussian,64,8,512,U-WR,8,8192,20.0,5,0,0.038856111352421896,0.006743550120058646,0.0355204339681938,0.1563880906945539,0.020367134113991995,0.1429067091726861,0.8218987808097153,0.020161079355281736,0.8197172731161118
gaussian,64,8,2048,Full,4,8192,20.0,5,5,0.01492647249997854,0.002856358894928722,0.0139905930771908,0.057658978220812264,0.011330766662209935,0.0551772789134869,7.519516353309155,0.0373654171266605,7.498714938759804
gaussian,64,8,2048,Tail-WOR,2,8192,20.0,5,5,0.02002928331820348,0.00698380169239986,0.0167510077299844,0.07682811966734551,0.024775299091239402,0.0668068703072945,3.8591522008180617,0.10433610849069536,3.8170628026127815
gaussian,64,8,2048,Tail-WOR,4,8192,20.0,5,5,0.02002928331820348,0.00698380169239986,0.0167510077299844,0.07682811966734554,0.024775299091239364,0.0668068703072946,3.9036813721060755,0.09290345834484906,3.934287175536156
gaussian,64,8,2048,Tail-WOR,8,8192,20.0,5,5,0.02002928331820348,0.00698380169239986,0.0167510077299844,0.07682811966734548,0.02477529909123935,0.0668068703072944,3.9187015756964683,0.08294748971532875,3.923954203724861
gaussian,64,8,2048,Tail-WR,2,8192,20.0,5,5,0.0231231516918388,0.005919454981161182,0.0240220341119306,0.08618482436092331,0.018668417299142686,0.0936172046047233,3.9668611644767227,0.07242898033257077,3.944538434967398
gaussian,64,8,2048,Tail-WR,4,8192,20.0,5,5,0.023123151691838817,0.005919454981161205,0.0240220341119306,0.08618482436092326,0.01866841729914267,0.0936172046047233,3.9197971367277207,0.03803353046529675,3.910068121738732
gaussian,64,8,2048,Tail-WR,8,8192,20.0,5,5,0.023123151691838817,0.005919454981161205,0.0240220341119306,0.08618482436092331,0.01866841729914272,0.0936172046047234,3.974906571302563,0.11760945676992064,3.9305395763367414
gaussian,64,8,2048,U-WOR,2,8192,20.0,5,0,0.040971811275456696,0.004857840624674086,0.0384223790704759,0.16521600689365282,0.021466160730266828,0.1511612388391263,3.046051085740328,0.037932208304042946,3.049975708127022
