batch,cell_id,commit,device,diffusion,dimension,ess_threshold,family,final_ess_fraction,groups,initialization,ks_mean,mean_absolute_error,method,minimum_ess_fraction,particles,peak_gpu_bytes,positive_mass_error,relative_path,resampling_count,score_evaluations,seconds,seed,status,steps,u_max,variance_relative_error,w1_mean
4,49,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9999578500712473,16,standard normal at finite u_max,0.07041345278415578,0.03436239989944334,full,0.4474873857603444,8192,10948608,0.003201899918385709,task_021/cell_0049,9,67108864,0.6020600832998753,2,completed,512,20.0,0.12166327907139929,0.034835500654441645
4,50,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9999999999999984,16,standard normal at finite u_max,0.12586531618058258,0.041342724946775156,unweighted,0.9999999999999987,8192,10948608,0.003201899918386153,task_022/cell_0050,0,67108864,0.5794574096798897,2,completed,512,20.0,0.440096927862492,0.05872976726878777
4,51,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.5606395488906518,16,standard normal at finite u_max,0.11131708681369701,0.05720319470491009,naive,0.40691198343417223,8192,5179904,0.0017454660381502896,task_023/cell_0051,10,16777216,0.7273540124297142,2,completed,512,20.0,0.0574295048507909,0.05770867330280012
4,52,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.858630827257504,16,standard normal at finite u_max,0.02379711141967744,0.008572079940715072,unbiased,0.3534822713144183,8192,5179904,0.000689526592523193,task_024/cell_0052,12,16777216,0.7735373303294182,2,completed,512,20.0,0.06315125097122942,0.00919887762638242
4,53,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9848863618428683,16,standard normal at finite u_max,0.030272146537330458,0.008859303136694141,cumulant,0.46036469334073177,8192,5310976,0.0003644030626046568,task_025/cell_0053,10,33554432,1.2406595423817635,2,completed,512,20.0,0.09436583353832739,0.01321234443965177
4,54,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9061734857777777,16,standard normal at finite u_max,0.023243150487653352,0.005111176993669364,cv,0.41918296170357006,8192,5179904,0.003201899918385931,task_026/cell_0054,10,16777216,1.0383544266223907,2,completed,512,20.0,0.13947888168660005,0.0125675743852303
4,55,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9487660341398317,16,standard normal at finite u_max,0.11081048965695828,0.06828886930882305,cv_cumulant,0.39844754907653296,8192,5310976,0.002556469061293032,task_027/cell_0055,11,33554432,1.835276298224926,2,completed,512,20.0,0.07630020358275691,0.06830405443609842
4,56,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.7435808227422337,16,standard normal at finite u_max,0.09769552747425847,0.05751098301318325,full,0.43093681353265806,8192,10948608,0.002456390550590215,task_000/cell_0056,9,67108864,0.6107505336403847,3,completed,512,20.0,0.05222852471302364,0.05754817696938445
4,57,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9999999999999984,16,standard normal at finite u_max,0.12002570515043678,0.03607788596372963,unweighted,0.9999999999999987,8192,10948608,0.002957759293386153,task_001/cell_0057,0,67108864,0.6051144897937775,3,completed,512,20.0,0.4337524299664385,0.053795544971754324
4,58,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9045025156798551,16,standard normal at finite u_max,0.10983122894628228,0.06415171985739077,naive,0.4334355058985332,8192,5179904,0.0027843362009355443,task_002/cell_0058,10,16777216,0.7710318900644779,3,completed,512,20.0,0.021972461679168998,0.06420853227350753
4,59,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.6895550253499585,16,standard normal at finite u_max,0.04750697215137378,0.03175095678708517,unbiased,0.42383606797573253,8192,5179904,0.002148307212820666,task_003/cell_0059,10,16777216,0.7605944201350212,3,completed,512,20.0,0.004416619061013094,0.03181927222350766
4,60,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9467860911231265,16,standard normal at finite u_max,0.06347983081318448,0.03152069989179995,cumulant,0.367975943129748,8192,5310976,0.0027836206796737484,task_004/cell_0060,9,33554432,1.2812485992908478,3,completed,512,20.0,0.16341589026442316,0.03249466355883015
4,61,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.8515104523456786,16,standard normal at finite u_max,0.06256192779989972,0.032173631568943706,cv,0.4500224671778358,8192,5179904,0.002254814304946229,task_005/cell_0061,9,16777216,1.027160495519638,3,completed,512,20.0,0.10037559595286039,0.032381904365746436
4,62,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.998086198196515,16,standard normal at finite u_max,0.08336974438126071,0.04715631826820488,cv_cumulant,0.4536939558494628,8192,5310976,0.0030437427307736797,task_006/cell_0062,9,33554432,1.8715460374951363,3,completed,512,20.0,0.12330358866620728,0.047656175809883156
4,63,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.8208823762460373,16,standard normal at finite u_max,0.06723445693740804,0.031612131413968125,full,0.42315464843164385,8192,10948608,0.003201899918385709,task_007/cell_0063,9,67108864,0.6032462790608406,4,completed,512,20.0,0.09525851750375947,0.03299309781777595
4,64,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9999999999999984,16,standard normal at finite u_max,0.12147293586342942,0.039251611476355475,unweighted,0.9999999999999987,8192,10948608,0.002957759293386153,task_008/cell_0064,0,67108864,0.5875195935368538,4,completed,512,20.0,0.429172991863347,0.05550162078958153
4,65,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.7409528338090684,16,standard normal at finite u_max,0.05811116725559784,0.032561140563331814,naive,0.4238818077854945,8192,5179904,0.002560882189145186,task_009/cell_0065,10,16777216,0.7451082989573479,4,completed,512,20.0,0.012050123732999074,0.03264179784441415
4,66,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9821605259769385,16,standard normal at finite u_max,0.08051537798181557,0.04526102072136973,unbiased,0.4166958585267931,8192,5179904,0.0023563744615969773,task_010/cell_0066,10,16777216,0.7561541683971882,4,completed,512,20.0,0.06470978590099707,0.045384968840157434
4,67,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.98708019176963,16,standard normal at finite u_max,0.030669373083388463,0.007566925765154053,cumulant,0.4275454420932296,8192,5310976,0.0023198058361150187,task_011/cell_0067,11,33554432,1.263204824179411,4,completed,512,20.0,0.1456733243722098,0.014893320829932234
4,68,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9719285126600219,16,standard normal at finite u_max,0.044798070205507357,0.027275693312791782,cv,0.45998348892400615,8192,5179904,0.002694667171971199,task_012/cell_0068,9,16777216,1.0257174372673035,4,completed,512,20.0,0.09597878992820064,0.027285121658435187
