anchor_preparation,batch,cell_id,dataset_seed,diffusion,dimension,ess_fraction,factor_calls,family,groups,ks_mean,line,log_normalizer,mean_absolute_error,method,particles,phase,positive_mass_error,preparation_calls,preparation_derivative_calls,projection_seed,repeat,resampling_count,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
"{'preparation_calls': 917504, 'preparation_seconds': 0.6548873707652092, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,38,702,1.0,8,0.5,269352960,learned,64,0.10503228740990961,anchored_confirmation,70.09192608771193,0.025188611993897575,tail_anchored,32768,confirmation,0.00035643233607021707,917504,786432,20260921,0,103,5.209357161074877,5.209357161074877,21027030,tail_anchored,0.002796311889894732,32768,0.0284543748992813,0.09176829464424673,completed,2048,1,0.09945555346494028,0.023595905300490903,0.0016507906855544457,0.17857304820723363,0.025211599423751,20.0,0.1804537532186257,0.026284305250629414
,4,39,703,1.0,8,0.5,4294967296,learned,64,0.05949372078833033,anchored_confirmation,97.65420439334106,0.012609387909043774,full,32768,confirmation,0.011270310131068564,0,0,20260921,0,94,6.102506551891565,6.102506551891565,21027040,full,0.06588241467913526,32768,0.014192590215381553,0.06360256564743123,completed,2048,1,0.06532685986533707,0.014592605649596064,0.01087160487591167,0.13862149015811687,0.017019294014054602,20.0,0.14561681809360633,0.015425254835553508
,4,40,703,1.0,8,0.5,268435456,learned,64,0.24446563550472367,anchored_confirmation,499.8001954451575,0.0669869962253874,tail_fixed,32768,confirmation,0.015519539712206959,0,0,20260921,0,403,4.323495779186487,4.323495779186487,21027040,tail_fixed,0.07813332453252364,32768,0.08061341790806137,0.48643851947681505,completed,2048,1,0.24231080664334964,0.0664234931462026,0.015824185318136397,0.2480222029560417,0.0682291139603951,20.0,0.25406641818886344,0.06949478334702769
"{'preparation_calls': 917504, 'preparation_seconds': 0.733974676579237, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,41,703,1.0,8,0.5,269352960,learned,64,0.1446798495344387,anchored_confirmation,101.0363092299319,0.03653316676622152,tail_anchored,32768,confirmation,0.01770865033095413,917504,786432,20260921,0,108,5.283396802842617,5.283396802842617,21027040,tail_anchored,0.09755459548712543,32768,0.04105964327018127,0.1297294286562171,completed,2048,1,0.14356521492105728,0.03632354312251807,0.01801329593688357,0.21364814110148694,0.036597848706462925,20.0,0.22025404031517493,0.03690637324567779
,4,42,704,1.0,8,0.5,4294967296,learned,64,0.06032294842288328,anchored_confirmation,92.949935418968,0.013161684800101749,full,32768,confirmation,0.00969191897358613,0,0,20260921,0,93,6.106726512312889,6.106726512312889,21027050,full,0.05792249587883937,32768,0.013820688573761236,0.02658619674065765,completed,2048,1,0.06587180964475566,0.015074782933415735,0.01368709158000165,0.1551700264981027,0.016604433221209674,20.0,0.16498367383923546,0.014846867042938377
,4,43,704,1.0,8,0.5,268435456,learned,64,0.34446029368649034,anchored_confirmation,715.7911838888334,0.09191100850420895,tail_fixed,32768,confirmation,0.04223626454535837,0,0,20260921,0,420,4.311389848589897,4.311389848589897,21027050,tail_fixed,0.2517807844520604,32768,0.10440474369813743,0.9164898278658591,completed,2048,1,0.3389530380030997,0.09026702604717678,0.04078245772448096,0.35694920995263174,0.09302623253207633,20.0,0.36445006792804724,0.09376349245946967
"{'preparation_calls': 917504, 'preparation_seconds': 0.7315572053194046, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,44,704,1.0,8,0.5,269352960,learned,64,0.04420505453245059,anchored_confirmation,94.13985692640577,0.009480974249775473,tail_anchored,32768,confirmation,0.005475905426085177,917504,786432,20260921,0,106,5.280091665685177,5.280091665685177,21027050,tail_anchored,0.028531548979586305,32768,0.009691604492533541,0.07029647725654228,completed,2048,1,0.04641451483286371,0.00949561719575701,0.007074107882221549,0.13164240356174658,0.011640875632777561,20.0,0.13703963928967378,0.011550013444331313
,4,45,705,1.0,8,0.5,4294967296,learned,64,0.05842484245616897,anchored_confirmation,138.50173928094534,0.011012659030108986,full,32768,confirmation,3.1750918475792478e-06,0,0,20260921,0,94,6.104285184293985,6.104285184293985,21027060,full,2.5400553204752793e-05,32768,0.01301049133932375,0.02797158627952939,completed,2048,1,0.06430752677190027,0.012806215310013538,3.2864561416851013e-06,0.17959854801542777,0.015643939192450072,20.0,0.18850388542136043,0.01421339841673274
,4,46,705,1.0,8,0.5,268435456,learned,64,0.3358479282215773,anchored_confirmation,868.1463099252202,0.08852271296757803,tail_fixed,32768,confirmation,3.175091847634759e-06,0,0,20260921,0,468,4.411713685840368,4.411713685840368,21027060,tail_fixed,2.54005531988131e-05,32768,0.07421319562026457,0.7792899229999984,completed,2048,1,0.3473021896756013,0.09194959836604416,3.2864561417406124e-06,0.32551603254351946,0.09265606459485906,20.0,0.3331609767315585,0.08925630625638004
"{'preparation_calls': 917504, 'preparation_seconds': 0.6555329598486423, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,47,705,1.0,8,0.5,269352960,learned,64,0.10442960362297851,anchored_confirmation,146.99588810916643,0.023674524434359606,tail_anchored,32768,confirmation,3.1750918475792478e-06,917504,786432,20260921,0,114,5.322809934616089,5.322809934616089,21027060,tail_anchored,2.5400553203531548e-05,32768,0.026241661797397696,0.06669974385865585,completed,2048,1,0.10713547331217943,0.024444476882555154,3.2864561416851013e-06,0.20431527750593764,0.026078915202634254,20.0,0.21295038952785716,0.02521306383051304
