batch,cell_id,covariance_error,coverage90,coverage95,dataset_seed,dimension,groups,line,log_normalizer,mean_error,method,particles,phase,proposal_scale,regime,seconds,seconds_including_preparation,seed,setting_id,sliced_w1_32,stages,state_mse,status,steps,w1_mean,width90,width95
8,49,0.03677849049341599,1.0,1.0,1208,2,12,sensor,-1.2369338819863351,0.053907335624326674,tail_anchored,16384,confirmation,,ambiguous,2.231104537844658,2.231104537844658,5101408,tail_anchored_n16384_k2048_m8,0.05546512978912772,,0.7429015112439441,completed,2048,0.048429208012656946,2.330738379386713,2.5983355594099935
4,50,0.036426835152765256,1.0,1.0,1208,2,12,sensor,-1.1761315441272062,0.0563155493115766,tail_fixed,16384,confirmation,,ambiguous,2.0233605429530144,2.0233605429530144,5101408,tail_fixed,0.058533501715805195,,0.7473744575912894,completed,2048,0.05235913813944001,2.306322120650682,2.5813150968533463
4,51,0.006438422188993255,1.0,1.0,1208,2,12,sensor,-1.155310993374993,0.004410285348160731,unbiased,16384,confirmation,,ambiguous,1.4929064996540546,1.4929064996540546,5101408,unbiased,0.006886190225271479,,0.6475313486365408,completed,2048,0.005878485277708979,2.296319811628587,2.5670324623656438
,52,0.002157471157227386,1.0,1.0,1208,2,12,sensor,-21.095528284505455,0.003757393273680134,annealed_smc,16384,confirmation,0.15,ambiguous,0.10162859410047531,0.10162859410047531,5101408,smc_k64_scale0.15,0.00869419390890263,64,0.6585821522022886,completed,,0.008788935677458611,2.309597892516607,2.588864381299935
,53,0.002219682613588044,1.0,1.0,1208,2,12,sensor,,0.003566357417406332,exact,16384,confirmation,,ambiguous,0.004978843033313751,0.004978843033313751,5101408,exact,0.004555660559642122,,0.6476610042098948,completed,,0.004717617097138757,2.304691714442887,2.587739650837163
4,54,0.010998386388308464,1.0,1.0,1209,2,12,sensor,-1.793999628270881,0.002834724487151869,full,16384,confirmation,,ambiguous,1.3971722312271595,1.3971722312271595,5101409,full_n16384_k2048_m4,0.00914486224453676,,0.155907805842107,completed,2048,0.008281662430763052,2.9600216919068494,3.47549756035101
8,55,0.0077001882709696766,1.0,1.0,1209,2,12,sensor,-1.7750024663019364,0.010929589634042756,tail_anchored,16384,confirmation,,ambiguous,2.480010535567999,2.480010535567999,5101409,tail_anchored_n16384_k2048_m8,0.01456763944068926,,0.16448327513616548,completed,2048,0.014685062199067702,2.977491728849581,3.503533998882096
4,56,0.10359050720943985,1.0,1.0,1209,2,12,sensor,-1.6905415221957005,0.08955661189073467,tail_fixed,16384,confirmation,,ambiguous,1.927892416715622,1.927892416715622,5101409,tail_fixed,0.08875079949054884,,0.23000437934303722,completed,2048,0.07983338656667266,3.1214580800487077,3.6060570410024706
4,57,0.012447164577384507,1.0,1.0,1209,2,12,sensor,-1.724730069572865,0.009247332254261546,unbiased,16384,confirmation,,ambiguous,1.472720317542553,1.472720317542553,5101409,unbiased,0.010585130001722504,,0.14958119001071038,completed,2048,0.010458552913521189,2.9615970076136677,3.4978594241619008
,58,0.010861910873237077,1.0,1.0,1209,2,12,sensor,-24.517824439675643,0.00368199248709702,annealed_smc,16384,confirmation,0.15,ambiguous,0.10142786055803299,0.10142786055803299,5101409,smc_k64_scale0.15,0.00806590880590163,64,0.15489296311897463,completed,,0.008484573341377801,2.9581424933838925,3.496595563630265
,59,0.010156570344127732,1.0,1.0,1209,2,12,sensor,,0.007620029375299719,exact,16384,confirmation,,ambiguous,0.004652008414268494,0.004652008414268494,5101409,exact,0.011939371879592825,,0.16233278658028874,completed,,0.01157106480286955,3.0007342752036053,3.5372246642648855
4,60,0.004293033702501961,0.0,0.5,1210,2,12,sensor,-0.1311062023298355,0.008231931569496581,full,16384,confirmation,,ambiguous,1.3542349115014076,1.3542349115014076,5101410,full_n16384_k2048_m4,0.010013157301880297,,0.8698519386092368,completed,2048,0.009184937694409909,1.46739866940264,2.379812536979842
8,61,0.01958117887360373,0.0,0.5,1210,2,12,sensor,-0.11426784193678596,0.015354857786335026,tail_anchored,16384,confirmation,,ambiguous,2.2350234985351562,2.2350234985351562,5101410,tail_anchored_n16384_k2048_m8,0.015563015730537397,,0.8797292156760295,completed,2048,0.015406120260207157,1.4856530789008393,2.426257829363771
4,62,0.01612577954560314,0.0,0.5,1210,2,12,sensor,0.07137443564189727,0.013534644757121517,tail_fixed,16384,confirmation,,ambiguous,2.0680330470204353,2.0680330470204353,5101410,tail_fixed,0.012672568257372717,,0.8925475035631233,completed,2048,0.013085764074476196,1.4971120180250233,2.4178239223888403
4,63,0.004811669568820643,0.0,0.5,1210,2,12,sensor,-0.03963356636176485,0.007828998892256035,unbiased,16384,confirmation,,ambiguous,1.468410313129425,1.468410313129425,5101410,unbiased,0.008266980503711831,,0.8794971471431364,completed,2048,0.007630502140906591,1.4786345560762988,2.3804974627151814
,64,0.008953258603164291,0.0,0.5,1210,2,12,sensor,-21.6475691291567,0.0032229200921930806,annealed_smc,16384,confirmation,0.15,ambiguous,0.10068874061107635,0.10068874061107635,5101410,smc_k64_scale0.15,0.006546023992038836,64,0.8737211704263821,completed,,0.005935663969627349,1.4565404967311295,2.3952705390669786
,65,0.0032360396426571523,0.0,0.5,1210,2,12,sensor,,0.004237341304717234,exact,16384,confirmation,,ambiguous,0.0044484809041023254,0.0044484809041023254,5101410,exact,0.005487901364319591,,0.8664554122623671,completed,,0.0054289930898090795,1.4472163234382074,2.3170485267976373
4,66,0.017555262977824077,1.0,1.0,1211,2,12,sensor,0.6433538187117662,0.024433799762554043,full,16384,confirmation,,ambiguous,1.3560936525464058,1.3560936525464058,5101411,full_n16384_k2048_m4,0.02156012232006193,,0.5899154540389453,completed,2048,0.024898126677226295,1.7114555030154508,1.9924589831202533
8,67,0.030895128081678196,1.0,1.0,1211,2,12,sensor,0.6614571103740285,0.04170744072353049,tail_anchored,16384,confirmation,,ambiguous,2.2405685149133205,2.2405685149133205,5101411,tail_anchored_n16384_k2048_m8,0.03616935046460793,,0.5721102069204284,completed,2048,0.04142177655581792,1.7558845211465275,2.0448857234506157
4,68,0.016662835047152578,1.0,1.0,1211,2,12,sensor,0.6495229546576855,0.025616331733022146,tail_fixed,16384,confirmation,,ambiguous,1.9183431193232536,1.9183431193232536,5101411,tail_fixed,0.023334699715837223,,0.5936304621959974,completed,2048,0.02686753988462013,1.6978994541351025,1.970373297669905
4,69,0.012548003607633373,1.0,1.0,1211,2,12,sensor,0.648537573698218,0.01085803287838973,unbiased,16384,confirmation,,ambiguous,1.5585102289915085,1.5585102289915085,5101411,unbiased,0.012791432515214354,,0.602400278890852,completed,2048,0.013182751629660677,1.694501335851855,2.000657560802498
,70,0.004245987586440194,0.5,1.0,1211,2,12,sensor,-16.708234653789496,0.003647450703175282,annealed_smc,16384,confirmation,0.15,ambiguous,0.10146602615714073,0.10146602615714073,5101411,smc_k64_scale0.15,0.0060488885337533615,64,0.6182752200921587,completed,,0.0054941297518602255,1.6409690166899376,1.9374585239760034
,71,0.0015781511898597291,0.5,1.0,1211,2,12,sensor,,0.004168765828321551,exact,16384,confirmation,,ambiguous,0.004865951836109161,0.004865951836109161,5101411,exact,0.005695432226439592,,0.6152302602523836,completed,,0.005529677439596483,1.662592410046365,1.9625126349291193
4,72,0.005522281430692632,0.5,0.5,1212,2,12,sensor,0.6082788792413307,0.010665156638854322,full,16384,confirmation,,ambiguous,1.3574306555092335,1.3574306555092335,5101412,full_n16384_k2048_m4,0.012559845919723563,,0.6725539871789287,completed,2048,0.011226214617197933,1.485307328081217,1.7555520938916809
8,73,0.00956427164061444,0.5,0.5,1212,2,12,sensor,0.6051116161930921,0.00673520525939119,tail_anchored,16384,confirmation,,ambiguous,2.247511226683855,2.247511226683855,5101412,tail_anchored_n16384_k2048_m8,0.01120130294384502,,0.6645200429031103,completed,2048,0.01074023486263883,1.4651207200088456,1.717855553512091
4,74,0.009466619296948585,0.5,0.5,1212,2,12,sensor,0.6142207659056744,0.010568145246215051,tail_fixed,16384,confirmation,,ambiguous,2.129082780331373,2.129082780331373,5101412,tail_fixed,0.011893202463887441,,0.6714291485528341,completed,2048,0.012273531259368219,1.4800229470823172,1.7449340881176862
