batch,cell_id,dataset_seed,diffusion,dimension,ess_fraction,family,groups,ks_mean,line,log_normalizer,mean_absolute_error,method,particles,phase,positive_mass_error,projection_seed,repeat,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
4,20,802,1.0,8,0.5,learned,64,0.08513424376554071,paper_anchor,126.48891522974884,0.01638811277560627,tail_anchored,8192,development,2.6564645677629173e-08,20260921,0,1.0327768847346306,1.0327768847346306,21018030,anchor_n8192_k1024_m4,2.1251716719733588e-07,32768,0.021499413208019957,0.1286885846494555,completed,1024,0,0.08625419594830416,0.017469143754554536,3.957804040055635e-08,0.200309560393801,0.02110726836024073,20.0,0.20059115183797094,0.020927736824132848
8,21,802,1.0,8,0.5,learned,64,0.07467920996918104,paper_anchor,120.06996888993628,0.01432165090540384,tail_anchored,8192,development,2.6564645677629173e-08,20260921,0,1.3015127964317799,1.3015127964317799,21018030,anchor_n8192_k1024_m8,2.1251716730835818e-07,32768,0.018525121677334846,0.0577870788167761,completed,1024,0,0.08369295273215448,0.01729506777998145,3.957804040055635e-08,0.19396838935128274,0.020157414935562522,20.0,0.19731091563845388,0.01743567667758654
16,22,802,1.0,8,0.5,learned,64,0.07342120492150028,paper_anchor,114.95955037819553,0.015620262451385647,tail_anchored,8192,development,2.6564645788651475e-08,20260921,0,1.5933059193193913,1.5933059193193913,21018030,anchor_n8192_k1024_m16,2.1251716508791213e-07,32768,0.016218182685582304,0.029362562331758386,completed,1024,0,0.06711391935491882,0.013588455165031682,3.957804051157865e-08,0.207998069593257,0.01628927168983533,20.0,0.21110817644468569,0.017297765290086378
4,23,802,1.0,8,0.5,learned,64,0.054567189957213866,paper_anchor,114.61141367946647,0.010983026452588349,tail_anchored,32768,development,2.6564645677629173e-08,20260921,0,3.8186653293669224,3.8186653293669224,21018030,anchor_n32768_k2048_m4,2.1251716553200134e-07,32768,0.015012970409562619,0.042397909745821784,completed,2048,0,0.052941928353706084,0.010655386589858415,3.957804040055635e-08,0.1435406405601556,0.013241158246073317,20.0,0.14678407078613792,0.014164780224501461
8,24,802,1.0,8,0.5,learned,64,0.07348506273240879,paper_anchor,115.17081227380518,0.016083847716738292,tail_anchored,32768,development,2.6564645677629173e-08,20260921,0,5.386193674057722,5.386193674057722,21018030,anchor_n32768_k2048_m8,2.125171680855143e-07,32768,0.024571376546593922,0.09313669715336235,completed,2048,0,0.07203332673838143,0.0160542805497306,3.957804040055635e-08,0.13908686655165783,0.018708613149567066,20.0,0.13935977494143903,0.020408508675680163
16,25,802,1.0,8,0.5,learned,64,0.04424262546466744,paper_anchor,116.63473503334286,0.007848568746710971,tail_anchored,32768,development,2.656464601069608e-08,20260921,0,8.223378654569387,8.223378654569387,21018030,anchor_n32768_k2048_m16,2.1251716347808875e-07,32768,0.010381180719221263,0.03801026842736773,completed,2048,0,0.04433404116207999,0.008106327081088549,3.9578040733623254e-08,0.16542102339872894,0.011228403523297605,20.0,0.16865252866045466,0.01105217439700205
4,26,802,1.0,8,0.5,learned,64,0.08336809328486257,paper_anchor,111.89866985421271,0.018817811380011054,tail_anchored,32768,development,2.6564645677629173e-08,20260921,0,7.940906375646591,7.940906375646591,21018030,anchor_n32768_k4096_m4,2.1251716597609055e-07,32768,0.02364776608312205,0.05440777252847995,completed,4096,0,0.0761948342614217,0.016347769631901196,3.957804040055635e-08,0.18437206590441174,0.019664638973281277,20.0,0.18755103361350312,0.02133431952013002
4,27,803,1.0,8,0.5,learned,64,0.07857943199543335,paper_anchor,139.91289891196027,0.017257340963998783,full,32768,development,0.026919696145567676,20260921,0,6.083784926682711,6.083784926682711,21018040,full,0.11209383113773405,32768,0.01925749118635911,0.05925091860088224,completed,2048,0,0.07211814523984202,0.015467143288072027,0.02275430904706663,0.16196449852484188,0.01876177681822269,20.0,0.16918268729114938,0.02016035062968092
4,28,803,1.0,8,0.5,learned,64,0.04353533593179737,paper_anchor,147.00398623398218,0.009457277050941258,factorized_full,32768,development,0.013395667696814592,20260921,0,6.1258506663143635,6.1258506663143635,21018040,factorized_full,0.057562205443457894,32768,0.012374579716712134,0.01506446579817859,completed,2048,0,0.051074581257508744,0.012322248712730684,0.01690508982796421,0.10328104330932392,0.01313227409372817,20.0,0.10782362634064625,0.011328761060113917
4,29,803,1.0,8,0.5,learned,64,0.07917834311207148,paper_anchor,144.39143063240982,0.01594321620783741,tail_anchored,8192,development,0.01734355292578181,20260921,0,1.0342601537704468,1.0342601537704468,21018040,anchor_n8192_k1024_m4,0.0799856511911046,32768,0.02435503979010528,0.05408146780633896,completed,1024,0,0.07792099539301275,0.015515535637681049,0.016537183601320032,0.20657362755215486,0.020475828240695264,20.0,0.21060740088939645,0.020109393084164134
