cell_id,training_seed,dataset_seed,setting_id,particles,method,mse,rmse,coverage90,coverage95,width90,width95
78,2,706,full,32768,full,0.0066788052409216085,0.08172395757011287,0.875,1.0,0.3214265539891096,0.38062746753646
79,2,706,tail_fixed,32768,tail_fixed,0.01584652253290313,0.12588297157639364,0.75,0.875,0.30077432084778816,0.3568632780268545
80,2,706,tail_anchored,32768,tail_anchored,0.006003860483916266,0.07748458223360481,0.875,1.0,0.319933910319688,0.38221778616071067
81,2,707,full,32768,full,0.0052055577674271596,0.07214955140142702,1.0,1.0,0.3305275288303273,0.39394427284251454
82,2,707,tail_fixed,32768,tail_fixed,0.021939726252814998,0.1481206476248838,0.5,0.5,0.26902510229292687,0.31707633665872925
83,2,707,tail_anchored,32768,tail_anchored,0.005762443127007247,0.07591075765006727,1.0,1.0,0.327715858093246,0.3915776244998299
84,2,708,full,32768,full,0.011196488661575235,0.10581346162740937,0.75,1.0,0.320825778799706,0.38232928511842235
85,2,708,tail_fixed,32768,tail_fixed,0.012442898560369956,0.11154774117107866,0.875,0.875,0.30118083182673705,0.3567452848739525
86,2,708,tail_anchored,32768,tail_anchored,0.010116969065536136,0.10058314503700973,0.875,1.0,0.32647807707526455,0.3893560194436184
87,2,709,full,32768,full,0.012410628392997336,0.11140299992817669,0.875,0.875,0.32983691668990256,0.3925531901464929
88,2,709,tail_fixed,32768,tail_fixed,0.030141439434455942,0.1736129011175608,0.625,0.625,0.32242282972816433,0.38351268219083945
89,2,709,tail_anchored,32768,tail_anchored,0.014560962138109007,0.12066881178709354,0.75,0.875,0.32946731914536836,0.39220427844590355
90,3,700,full,32768,full,0.01045619990477694,0.10225556173028898,0.875,0.875,0.3390386417540157,0.40497148176705233
91,3,700,tail_fixed,32768,tail_fixed,0.03222893512862418,0.1795241909287553,0.625,0.625,0.2806726542607933,0.3313326076867298
92,3,700,tail_anchored,32768,tail_anchored,0.010161079762592054,0.10080218133846139,0.875,1.0,0.33424574393163897,0.3978710433310924
93,3,701,full,32768,full,0.017230179361478068,0.13126377779676338,0.75,0.75,0.3280968588619108,0.3898112872758534
94,3,701,tail_fixed,32768,tail_fixed,0.06794165763230181,0.26065620581966165,0.5,0.5,0.2511306138652579,0.2988876916058043
95,3,701,tail_anchored,32768,tail_anchored,0.01816190482255209,0.13476611155090915,0.75,0.875,0.32921154225723104,0.39120935499687126
96,3,702,full,32768,full,0.011813261990026564,0.10868883102704971,1.0,1.0,0.3376544011861232,0.40170206952588705
97,3,702,tail_fixed,32768,tail_fixed,0.004373349813082602,0.06613130735954494,1.0,1.0,0.3098290288918052,0.36900029008583657
98,3,702,tail_anchored,32768,tail_anchored,0.015419370743799633,0.12417475888359773,0.875,1.0,0.33557795058935636,0.39852567050703147
99,3,703,full,32768,full,0.018549104010845717,0.13619509539937816,0.75,0.875,0.34333826462639216,0.40730815218724026
100,3,703,tail_fixed,32768,tail_fixed,0.028223481638032386,0.1679984572489652,0.5,0.5,0.3174718926689224,0.37669214135921936
101,3,703,tail_anchored,32768,tail_anchored,0.015194589454961879,0.12326633544874237,0.75,0.875,0.33189207797574155,0.3950616709384154
102,3,704,full,32768,full,0.004623657236939853,0.06799747963667369,1.0,1.0,0.3369600516394614,0.4001552699000578
103,3,704,tail_fixed,32768,tail_fixed,0.02761558546421425,0.1661793773734101,0.5,0.625,0.2812577535466344,0.3363058186610869
104,3,704,tail_anchored,32768,tail_anchored,0.003907361353976818,0.06250889019952936,1.0,1.0,0.3370014631673005,0.4005280639511457
105,3,705,full,32768,full,0.009985718662833367,0.09992856780137183,0.875,1.0,0.32824523149809903,0.39023895884297544
106,3,705,tail_fixed,32768,tail_fixed,0.027314708639198958,0.16527162079195254,0.625,0.75,0.2702519977277901,0.3231506625746089
107,3,705,tail_anchored,32768,tail_anchored,0.009462352176503236,0.09727462246908612,1.0,1.0,0.3273816465590392,0.3890012861474401
108,3,706,full,32768,full,0.006767460353164328,0.0822645753235518,0.875,1.0,0.3193592531730505,0.3793750253320385
109,3,706,tail_fixed,32768,tail_fixed,0.015392230916755723,0.12406542998255285,0.875,0.875,0.29095682746475104,0.34854040205610726
110,3,706,tail_anchored,32768,tail_anchored,0.005754499486488278,0.07585841737400194,1.0,1.0,0.3292159793503792,0.39203182084712795
111,3,707,full,32768,full,0.005862698350387118,0.07656825941855488,1.0,1.0,0.33546118287073756,0.4003752477779992
112,3,707,tail_fixed,32768,tail_fixed,0.03316154062527564,0.18210310438121488,0.5,0.625,0.2662916269938539,0.3160662681601545
113,3,707,tail_anchored,32768,tail_anchored,0.004679855243932424,0.0684094675021844,1.0,1.0,0.33667284945195197,0.39907426935180224
114,3,708,full,32768,full,0.01106016358149189,0.10516731232418128,0.875,1.0,0.3296400697914644,0.3920423825806677
115,3,708,tail_fixed,32768,tail_fixed,0.012977643676059485,0.11391946135783598,0.75,1.0,0.3028527647607361,0.359463833793922
116,3,708,tail_anchored,32768,tail_anchored,0.012116973603216893,0.11007712570383046,0.75,1.0,0.32517315099976596,0.3854473923043026
117,3,709,full,32768,full,0.015376567294378078,0.12400228745623235,0.75,0.75,0.33218798356735746,0.39542380025893487
118,3,709,tail_fixed,32768,tail_fixed,0.024990960928756606,0.1580852963711572,0.75,0.75,0.33277499016454437,0.39649004195587345
119,3,709,tail_anchored,32768,tail_anchored,0.015142799750746106,0.12305608376161703,0.75,0.875,0.33846217757801156,0.40187217114166973
120,4,700,full,32768,full,0.011088607992276489,0.10530245957372737,0.875,1.0,0.3441898809120094,0.4106982517994716
121,4,700,tail_fixed,32768,tail_fixed,0.03468063049880179,0.18622736237943605,0.75,0.75,0.2600209509660467,0.3106530079471233
122,4,700,tail_anchored,32768,tail_anchored,0.010294256873718332,0.10146061735332745,0.875,1.0,0.32980600286623,0.3918471163985473
