batch,cell_id,cell_wall_seconds,checkpoint_sha256,commit,condition,control_delta,critical_batch,dataset_seed,device,diffusion,dimension,ess_threshold,family,final_ess_fraction,finite_normalizer,groups,initialization,ks_mean,learning_w1,mean_absolute_error,method,minimum_ess_fraction,particles,peak_gpu_bytes,positive_mass_error,resampling_count,sampling,score_evaluations,seconds,seed,status,steps,suite,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
4,270,24.207266736775637,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,full,,,110,cuda,1.0,8,0.5,learned_mixture,0.6734536434850643,True,64,standard normal at finite u_max,0.052936799756868304,0.00527781286273175,0.010170355392157772,full,0.2724734469927702,32768,1383796224,0.0033581412724526206,92,with_replacement,4294967296,14.037819135934114,9004110,completed,2048,heldout,4,0.0664940653165719,0.01408505859110516,0.003768341751824884,0.16921140817768354,0.015496476109283463,20.0,0.1702710142178009,0.012237227495556769
4,271,3.7198178991675377,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,unbiased,,,110,cuda,1.0,8,0.5,learned_mixture,0.8878800728581073,False,64,standard normal at finite u_max,0.17420701385121398,0.00527781286273175,0.03442348332215532,unbiased,3.052479625054873e-05,32768,202038784,0.013947937531215402,652,without_replacement,268435456,2.9711782336235046,9004110,completed,2048,heldout,4,0.1842986211033955,0.036909151827996596,0.014358138010587666,0.3653768410063953,0.04291038386030002,20.0,0.3653061124972753,0.03969446882103049
4,272,4.141519587486982,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,tail,,,110,cuda,1.0,8,0.5,learned_mixture,0.9564919516810476,True,64,standard normal at finite u_max,0.3219850366392131,0.00527781286273175,0.07986530476300774,tail,7.282866745082278e-05,32768,202038784,0.021605003243985392,406,without_replacement,268435456,3.384277906268835,9004110,completed,2048,heldout,4,0.3362775482317363,0.08397918235136889,0.021370871472048712,0.29457911024782807,0.08400532878672495,20.0,0.29549958032559653,0.07990290897222097
4,273,24.235845036804676,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,full,,,111,cuda,1.0,8,0.5,learned_mixture,0.7586021610462781,True,64,standard normal at finite u_max,0.052012151118030904,0.006436725691858784,0.009474922193681817,full,0.37495842989655653,32768,1383796224,6.737950599880471e-05,90,with_replacement,4294967296,14.054219864308834,9004111,completed,2048,heldout,4,0.06456474177280316,0.013621125721234945,6.923715554037202e-05,0.16991907417743968,0.016541235943647276,20.0,0.1670638683407108,0.013036102893209443
4,274,3.7085788547992706,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,unbiased,,,111,cuda,1.0,8,0.5,learned_mixture,0.7619156210825626,False,64,standard normal at finite u_max,0.160816331638027,0.006436725691858784,0.0349406002354782,unbiased,3.097992788763203e-05,32768,202038784,6.603241897480683e-05,653,without_replacement,268435456,2.960050605237484,9004111,completed,2048,heldout,4,0.16579440880438406,0.036416364892470444,6.789006851637414e-05,0.3381639852221857,0.04111300793196404,20.0,0.33573738284586874,0.03991456757026519
4,275,4.154201444238424,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,tail,,,111,cuda,1.0,8,0.5,learned_mixture,0.7934842797686326,True,64,standard normal at finite u_max,0.3774703190715682,0.006436725691858784,0.10531727696761148,tail,0.00010596962791279405,32768,202038784,6.737950599880471e-05,469,without_replacement,268435456,3.399184964597225,9004111,completed,2048,heldout,4,0.3898587215194786,0.11082483932556877,6.923715554037202e-05,0.47156459467348516,0.11707664697746571,20.0,0.4695044125498541,0.11158450749603203
4,276,14.801459554582834,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,full,,,112,cuda,1.0,8,0.5,learned_mixture,0.9949915331418221,True,64,standard normal at finite u_max,0.05494807630409951,0.007463934397075562,0.010218313603873909,full,0.33906784610211743,32768,1383796224,6.843449634474918e-07,96,with_replacement,4294967296,14.044726550579071,9004112,completed,2048,heldout,4,0.07911364792119754,0.017682247998302154,7.688728954902135e-07,0.19352834402293786,0.01905387662052322,20.0,0.1958958066538706,0.013184075857038641
4,277,13.108272463083267,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,unbiased,,,112,cuda,1.0,8,0.5,learned_mixture,0.8111554345053174,False,64,standard normal at finite u_max,0.15258840938875368,0.007463934397075562,0.0318390604153988,unbiased,3.0738269200484125e-05,32768,202038784,6.843449634474918e-07,642,without_replacement,268435456,2.9575812704861164,9004112,completed,2048,heldout,4,0.16045135731757576,0.034556038325299604,7.688728954902135e-07,0.32653932918087913,0.03712905204456101,20.0,0.3284973753838895,0.03542318918892188
4,278,4.173190105706453,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,tail,,,112,cuda,1.0,8,0.5,learned_mixture,0.7152999647592696,True,64,standard normal at finite u_max,0.3466270214233004,0.007463934397075562,0.09951873560029437,tail,8.598212099747234e-05,32768,202038784,6.843449634474918e-07,456,without_replacement,268435456,3.4050439596176147,9004112,completed,2048,heldout,4,0.3627809609453966,0.10559874733934996,7.688728954902135e-07,0.36599263018397266,0.10997234189642219,20.0,0.3680052834945768,0.10471876741945457
4,279,24.437158815562725,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,full,,,113,cuda,1.0,8,0.5,learned_mixture,0.5827287137818861,True,64,standard normal at finite u_max,0.05497183691471838,0.00739696811704176,0.011813937583635775,full,0.3374707201670357,32768,1383796224,3.672405032850712e-09,94,with_replacement,4294967296,14.069782178848982,9004113,completed,2048,heldout,4,0.07902631567149247,0.019210905700677183,4.4079475347569286e-09,0.1677918844728411,0.02000054199161248,20.0,0.16621111850204223,0.013566535004603378
4,280,3.786949161440134,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,unbiased,,,113,cuda,1.0,8,0.5,learned_mixture,0.8035083080147905,False,64,standard normal at finite u_max,0.09010291088045556,0.00739696811704176,0.013695021961291312,unbiased,3.10826829617225e-05,32768,202038784,3.672405032850712e-09,636,without_replacement,268435456,3.038954809308052,9004113,completed,2048,heldout,4,0.09866353199986078,0.01682514959172117,4.4079475347569286e-09,0.33725226509069917,0.023793866534297443,20.0,0.33596338832443023,0.0217626828435563
4,281,4.14267510920763,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,tail,,,113,cuda,1.0,8,0.5,learned_mixture,0.9625675976654394,True,64,standard normal at finite u_max,0.3508950266592537,0.00739696811704176,0.10175858427742479,tail,0.00026868322399201084,32768,202038784,3.672405032850712e-09,427,without_replacement,268435456,3.3893005214631557,9004113,completed,2048,heldout,4,0.3640641784697328,0.10692946712310328,4.4079475347569286e-09,0.35424282883382535,0.1078235654409018,20.0,0.353374614561226,0.10248456627489377
4,282,24.216843206435442,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,full,,,114,cuda,1.0,8,0.5,learned_mixture,0.9337503688488088,True,64,standard normal at finite u_max,0.0971737403764402,0.003913109282774658,0.022701274831211333,full,0.37838899784041113,32768,1383796224,0.021149362073900127,94,with_replacement,4294967296,14.04061670601368,9004114,completed,2048,heldout,4,0.10535735362187129,0.024744748445770025,0.024206525257623054,0.16239738469951953,0.02618357660438996,20.0,0.16000137610441673,0.024108866085616274
4,283,3.6999630853533745,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,unbiased,,,114,cuda,1.0,8,0.5,learned_mixture,0.5002402018311948,False,64,standard normal at finite u_max,0.19579359250959041,0.003913109282774658,0.040188416991408085,unbiased,3.141378218640093e-05,32768,202038784,0.015495551335405006,633,without_replacement,268435456,2.956418205052614,9004114,completed,2048,heldout,4,0.19416736272528357,0.03985225292816752,0.017356513194819928,0.43168320593980264,0.04518618421844163,20.0,0.4300943033518912,0.046289535340017784
4,284,4.141396168619394,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,tail,,,114,cuda,1.0,8,0.5,learned_mixture,0.8546492683978162,True,64,standard normal at finite u_max,0.27681673157261666,0.003913109282774658,0.07710639415577371,tail,0.0005357572255956488,32768,202038784,0.04400990264852952,369,without_replacement,268435456,3.384457964450121,9004114,completed,2048,heldout,4,0.2791753364805898,0.07803071920029508,0.04450224566400598,0.3485463734017965,0.08057185304688204,20.0,0.3469015685675261,0.07922951848886849
4,285,24.22973883897066,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,full,,,115,cuda,1.0,8,0.5,learned_mixture,0.5781234081298856,True,64,standard normal at finite u_max,0.06389232660898962,0.007736060758814449,0.012789959079917042,full,0.35919196092673233,32768,1383796224,0.008657414522279784,99,with_replacement,4294967296,14.05723586305976,9004115,completed,2048,heldout,4,0.08681887000318292,0.01892523417475082,0.008749926573536508,0.1770209184936971,0.021222691109258802,20.0,0.17615119703169257,0.015060172439857727
4,286,3.711946740746498,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,unbiased,,,115,cuda,1.0,8,0.5,learned_mixture,0.507334106796552,False,64,standard normal at finite u_max,0.1725181756639405,0.007736060758814449,0.03586795050349736,unbiased,3.2095504875757734e-05,32768,202038784,0.031239963279869366,672,without_replacement,268435456,2.964236479252577,9004115,completed,2048,heldout,4,0.16164361440783687,0.03296784980900555,0.031225841816689796,0.34423893545245793,0.03696955126105805,20.0,0.34353924490843407,0.039048976624618814
4,287,4.157055452466011,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,tail,,,115,cuda,1.0,8,0.5,learned_mixture,0.5387248639920051,True,64,standard normal at finite u_max,0.3378447892526485,0.007736060758814449,0.08158440309976196,tail,3.920032143750157e-05,32768,202038784,0.01730570228984639,482,without_replacement,268435456,3.4041819609701633,9004115,completed,2048,heldout,4,0.3532940807906056,0.08769677517248599,0.017398214341103113,0.40839008748958655,0.09522378322594244,20.0,0.40886723622586846,0.08869488128193663
4,288,24.212207816541195,4f8f7d024dee2ba1d205fcf59f39c4f32d87524ab703a9051d4ad4e7ca38f59f,324a2d406707f9daea94ae5b41dbad7950efa93d,full,,,116,cuda,1.0,8,0.5,learned_mixture,0.999968994751546,True,64,standard normal at finite u_max,0.10566935069225494,0.00835958140983726,0.025131397055972837,full,0.3560895685350997,32768,1383796224,0.02135739780353556,103,with_replacement,4294967296,14.061540953814983,9004116,completed,2048,heldout,4,0.11508692628947287,0.02727464556620576,0.021097035110834193,0.18887110760279255,0.02947027710610763,20.0,0.18691532132857996,0.026973916126059642
