all_strongest_batch_count,bad_event_lower_probability,batch,cell_id,commit,device,diffusion,dimension,ess_fraction,ess_threshold,family,final_ess_fraction,finite_population_normalizer,full_exact_log_normalizer,full_exact_variance,groups,initialization,kind,ks_mean,largest_normalized_weight,log_normalizer,mean_absolute_error,method,minimum_ess_fraction,nonintegrable_batch_count,particles,peak_gpu_bytes,positive_mass_error,potential_mse,relative_path,resampling_count,score_evaluations,score_mse,seconds,seed,status,steps,u_max,variance_relative_error,w1_mean,weighted_mean,weighted_variance
,,4,37,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.7616509863392846,,,,16,standard normal at finite u_max,tail,0.11570530083354863,,,0.18631644737832992,tail_cumulant,0.08952664228274451,,8192,38345728,0.07649327369410863,,task_001/cell_0037,14,8388608,,0.4632383659482002,3,completed,128,20.0,0.12331833753799745,0.2173555494897766,,
,,4,38,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.7164307285780995,,,,16,standard normal at finite u_max,tail,0.5929282428927567,,,1.383747562995749,tail,0.00121712919852953,,8192,37755904,0.5544315536350113,,task_002/cell_0038,22,4194304,,0.2741474211215973,4,completed,128,20.0,0.95605943064429,1.38378224221947,,
,,4,39,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.7618542531092732,,,,16,standard normal at finite u_max,tail,0.14218722344221923,,,0.2126676219899043,tail_cumulant,0.09642489706014314,,8192,38345728,0.08113960169800807,,task_003/cell_0039,15,8388608,,0.4744161143898964,4,completed,128,20.0,0.16150980057151498,0.25627965021140864,,
,,4,40,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.8759803879550879,,,,16,standard normal at finite u_max,tail,0.14548031840298542,,,0.29813004464621384,tail,0.34338901774321884,,8192,37755904,0.12636697097708155,,task_004/cell_0040,12,16777216,,1.0668714717030525,0,completed,512,20.0,0.05748636462887925,0.3157135204097674,,
,,4,41,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.8865798728113274,,,,16,standard normal at finite u_max,tail,0.05903095000829277,,,0.09624766424888498,tail_cumulant,0.43346267084408985,,8192,38345728,0.035069768671493785,,task_005/cell_0041,7,33554432,,1.8680455908179283,0,completed,512,20.0,0.04758402324995534,0.1015288361856613,,
,,4,42,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.5828193538256735,,,,16,standard normal at finite u_max,tail,0.12733751461853562,,,0.25654631041428044,tail,0.3829864819738876,,8192,37755904,0.10455676960549884,,task_006/cell_0042,11,16777216,,1.0246040895581245,1,completed,512,20.0,0.07066114563468734,0.2621428282886854,,
,,4,43,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.9842538455115011,,,,16,standard normal at finite u_max,tail,0.09604067527428252,,,0.1909709308568962,tail_cumulant,0.4544177867131564,,8192,38345728,0.08331973080334011,,task_007/cell_0043,8,33554432,,1.8333834260702133,1,completed,512,20.0,0.04455276136476921,0.1958094068110479,,
,,4,44,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.9896536981451524,,,,16,standard normal at finite u_max,tail,0.11128352365815256,,,0.22577915212845107,tail,0.405400137722978,,8192,37755904,0.09359665820872223,,task_008/cell_0044,12,16777216,,1.083869006484747,2,completed,512,20.0,0.0695973963207443,0.23231038310989816,,
,,4,45,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.8836104801996084,,,,16,standard normal at finite u_max,tail,0.05160946046471463,,,0.08033468355783588,tail_cumulant,0.42551719196613463,,8192,38345728,0.034951671677169796,,task_009/cell_0045,7,33554432,,1.8176705688238144,2,completed,512,20.0,0.052941950829013554,0.09362383558028797,,
,,4,46,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.8779302860659122,,,,16,standard normal at finite u_max,tail,0.1234077820265333,,,0.24023405753256877,tail,0.32261319228145896,,8192,37755904,0.09773982740818085,,task_010/cell_0046,13,16777216,,1.1040379852056503,3,completed,512,20.0,0.0727295859916034,0.2558691153640402,,
