anchor_preparation,batch,cell_id,dataset_seed,diffusion,dimension,ess_fraction,factor_calls,family,groups,ks_mean,line,log_normalizer,mean_absolute_error,method,particles,phase,positive_mass_error,preparation_calls,preparation_derivative_calls,projection_seed,repeat,resampling_count,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
"{'preparation_calls': 917504, 'preparation_seconds': 0.6237784400582314, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,20,706,1.0,8,0.5,269352960,learned,64,0.06792381983723425,anchored_equivalent_replay,84.74779193897247,0.013673551994996513,tail_anchored,32768,confirmation,0.020097959697714794,917504,786432,20260921,0,107,3.8152205385267735,3.8152205385267735,21017070,tail_anchored,0.14044903468993558,32768,0.018831547675506287,0.06326128586514751,completed,2048,0,0.06115717689326085,0.011423573287984717,0.023374719731459333,0.17681319005131207,0.015414654948099807,20.0,0.1786685457329031,0.016860391969363973
,4,21,707,1.0,8,0.5,4294967296,learned,64,0.09254371602617108,anchored_equivalent_replay,108.88600196870458,0.021784636290917377,full,32768,confirmation,0.012130047084780323,0,0,20260921,0,101,6.014073368161917,6.014073368161917,21017080,full,0.096184404036034,32768,0.024718603473982543,0.08155016785462321,completed,2048,0,0.09626411434446662,0.022952204363168496,0.00916084365112876,0.15342884868995826,0.023763913262687862,20.0,0.15243413350067436,0.02392416171703194
,4,22,707,1.0,8,0.5,268435456,learned,64,0.5332288372595579,anchored_equivalent_replay,1640.7809264320615,0.1424392962430654,tail_fixed,32768,confirmation,0.049935834743479374,0,0,20260921,0,482,4.235494457185268,4.235494457185268,21017080,tail_fixed,0.3988505218102881,32768,0.14801856735773836,2.466564194182411,completed,2048,0,0.543123874879858,0.14528764227928043,0.05283242257151052,0.5844512027640238,0.15156996826882296,20.0,0.58388549448786,0.14951927412425542
"{'preparation_calls': 917504, 'preparation_seconds': 0.6158179454505444, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,23,707,1.0,8,0.5,269352960,learned,64,0.05089022549890695,anchored_equivalent_replay,108.31933623262991,0.009929194939234815,tail_anchored,32768,confirmation,0.005817259627656119,917504,786432,20260921,0,113,3.8038442246615887,3.8038442246615887,21017080,tail_anchored,0.04595374393744676,32768,0.012266648106144654,0.03325331590407429,completed,2048,0,0.058969072612612694,0.012434974470439557,0.008713847455687268,0.16743897860739054,0.01467104484073071,20.0,0.16637275271509863,0.012055040653426288
,4,24,708,1.0,8,0.5,4294967296,learned,64,0.0927646008981036,anchored_equivalent_replay,76.8077303827308,0.019049440556258353,full,32768,confirmation,0.017172247631139774,0,0,20260921,0,94,6.009884484112263,6.009884484112263,21017090,full,0.08345044145210606,32768,0.022606612168174597,0.0584555106218158,completed,2048,0,0.09006662257801476,0.018992344593681827,0.020920079538347992,0.20021706709578047,0.02079042258501896,20.0,0.20026552024192618,0.022334373705165816
,4,25,708,1.0,8,0.5,268435456,learned,64,0.26891455668142883,anchored_equivalent_replay,355.3454471636235,0.07193147627846277,tail_fixed,32768,confirmation,0.04609298293032824,0,0,20260921,0,364,4.37120333686471,4.37120333686471,21017090,tail_fixed,0.28948687630461756,32768,0.09755603875322633,0.6492088445514578,completed,2048,0,0.25436314147988714,0.0673302708776664,0.04419019200270692,0.26636491100530224,0.07018460638055572,20.0,0.2664517123905458,0.07396832330291846
"{'preparation_calls': 917504, 'preparation_seconds': 0.7345761619508266, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,26,708,1.0,8,0.5,269352960,learned,64,0.05846474939802106,anchored_equivalent_replay,77.51542293696886,0.012236632831351263,tail_anchored,32768,confirmation,0.015036267166218791,917504,786432,20260921,0,106,3.940722055733204,3.940722055733204,21017090,tail_anchored,0.07954884365765001,32768,0.013482027061668109,0.038354316664604246,completed,2048,0,0.042072754890054624,0.0069173977057866605,0.012674037029091142,0.16125203134630844,0.011318527318237275,20.0,0.1612500035918807,0.014148173610933241
,4,27,709,1.0,8,0.5,4294967296,learned,64,0.05080587922757764,anchored_equivalent_replay,74.71435521923684,0.009221440647098688,full,32768,confirmation,0.0039569578084052825,0,0,20260921,0,92,6.018225222826004,6.018225222826004,21017100,full,0.030182904487855357,32768,0.012752347650916715,0.03173026294895918,completed,2048,0,0.04941441050701781,0.00868228762432189,0.003759078946124315,0.1831718404298272,0.012503388130467355,20.0,0.18470196352365786,0.012867844055651367
,4,28,709,1.0,8,0.5,268435456,learned,64,0.23567403098157547,anchored_equivalent_replay,293.4408914443519,0.06123830583918784,tail_fixed,32768,confirmation,0.010792297871979946,0,0,20260921,0,347,4.223493546247482,4.223493546247482,21017100,tail_fixed,0.08163004946981944,32768,0.052371248206286046,0.3789949429884947,completed,2048,0,0.2329583123609914,0.060461375314152674,0.010594419009698978,0.21636878606388107,0.06064989659889667,20.0,0.2176881617489123,0.06134929534277247
"{'preparation_calls': 917504, 'preparation_seconds': 0.6215163730084896, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,29,709,1.0,8,0.5,269352960,learned,64,0.07655713200608302,anchored_equivalent_replay,78.55013488206694,0.017071685073283785,tail_anchored,32768,confirmation,0.008374335905323634,917504,786432,20260921,0,108,3.816044095903635,3.816044095903635,21017100,tail_anchored,0.04612749908603447,32768,0.02041741289531472,0.13729774752345453,completed,2048,0,0.07405531803780654,0.016324106110164615,0.006457103821824727,0.17163396322036215,0.018336886589211038,20.0,0.1722589390130626,0.02033979800823886
