batch,cell_id,commit,device,diffusion,dimension,ess_threshold,family,final_ess_fraction,groups,independent_ks_mean,independent_mean_absolute_error,independent_positive_mass_error,independent_variance_relative_error,independent_w1_mean,initialization,integrability_certificate,joint_sign_total_variation,ks_mean,mean_absolute_error,method,minimum_ess_fraction,off_diagonal_correlation_rms,particles,peak_gpu_bytes,positive_mass_error,resampling_count,score_evaluations,seconds,seed,status,steps,u_max,variance_relative_error,w1_mean
4,960,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,weak_mixture,0.9999999999999984,16,0.04661565742106582,0.0034108223831854256,0.0036410951050405427,0.298681594336712,0.0617507873579953,standard normal at finite u_max,finite,0.07490412742542084,0.04661565742106581,0.0034108223831854374,unweighted,0.9999999999999987,0.010694239421039482,8192,85731328,0.0036410952291644205,0,16777216,0.1997552067041397,2,completed,128,20.0,0.29868159433671165,0.06175037557005185
4,988,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,weak_mixture,0.9999999999999984,16,0.05158833309525137,0.003174175662460104,0.0034027099609375278,0.3226595118504485,0.06743337691355217,standard normal at finite u_max,finite,0.0645489230338479,0.05158833309525137,0.0031741756624600846,unweighted,0.9999999999999987,0.010863319166135163,8192,85731328,0.0034027099609374722,0,67108864,0.7364246398210526,1,completed,512,20.0,0.32265951185044817,0.06743370689739372
4,1016,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,weak_mixture,0.9999999999999984,16,0.053863913422057055,0.0038599364888186015,0.005105938855040584,0.3300120804578155,0.0685776564442224,standard normal at finite u_max,finite,0.07033784673727997,0.053863913422057055,0.0038599364888186136,unweighted,0.9999999999999987,0.01004495338189449,8192,85731328,0.005105938979164393,0,268435456,2.8929614648222923,0,completed,2048,20.0,0.33001208045781516,0.06857697091924961
4,1044,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,weak_mixture,0.9999999999999984,16,0.052785982944154944,0.0030516243819773293,0.005628485510434059,0.33331523274946906,0.07008523465336879,standard normal at finite u_max,finite,0.07557491433687695,0.052785982944154944,0.003051624381977344,unweighted,0.9999999999999987,0.013476446909989495,8192,85731328,0.005628485882805789,0,268435456,2.8999736309051514,4,completed,2048,20.0,0.33331523274946867,0.07008500278286373
4,1072,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,weak_mixture,0.9999999999999984,64,0.04914391382065331,0.0027795987279743348,0.005976499948480707,0.3233477814438228,0.06598972993618603,standard normal at finite u_max,finite,0.005976500577302618,0.04914391382065331,0.002779598727974295,unweighted,0.9999999999999987,0.0,8192,42406912,0.005976500577302812,0,67108864,0.14926999062299728,3,completed,128,20.0,0.3233477814438226,0.0659907919634765
4,1100,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,weak_mixture,0.9999999999999984,64,0.05893459022241282,0.00480669078822827,0.009028257760980707,0.3525923956445076,0.0739552339494906,standard normal at finite u_max,finite,0.009028258389802618,0.05893459022241282,0.00480669078822823,unweighted,0.9999999999999987,0.0,8192,42406912,0.009028258389802812,0,268435456,0.5761905536055565,2,completed,512,20.0,0.3525923956445074,0.07395422896476574
4,1128,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,weak_mixture,0.9999999999999984,64,0.05983557664496744,0.011627500049941116,0.017084898385980707,0.34539746348225064,0.07068038196122835,standard normal at finite u_max,finite,0.017084899014802618,0.05983557664496744,0.01162750004994108,unweighted,0.9999999999999987,0.0,8192,42406912,0.017084899014802812,0,1073741824,2.2816750705242157,1,completed,2048,20.0,0.3453974634822504,0.07068036456146126
4,1156,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,weak_mixture,0.9999999999999984,64,0.051920760907443894,0.004127979184846979,0.006739439401605804,0.32644997274727017,0.06659557647355244,standard normal at finite u_max,finite,0.07309356063631611,0.051920760907443894,0.004127979184846975,unweighted,0.9999999999999987,0.009238652455434425,8192,337420288,0.006739440030427729,0,67108864,0.48940250277519226,0,completed,128,20.0,0.32644997274726983,0.06659488971628946
4,1184,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,weak_mixture,0.9999999999999984,64,0.05073772181894229,0.003446009030592079,0.0062371357035480995,0.3232767871110773,0.06644850693739605,standard normal at finite u_max,finite,0.06699099569394318,0.05073772181894229,0.003446009030592068,unweighted,0.9999999999999987,0.01149599236452931,8192,337420288,0.006237136175164526,0,67108864,0.48687511682510376,4,completed,128,20.0,0.32327678711107705,0.06644836111783557
4,1212,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,8,0.5,weak_mixture,0.9999999999999984,64,0.055639743604100435,0.0030644670240901686,0.005383879857052867,0.3494427740942979,0.07196188474952564,standard normal at finite u_max,finite,0.0665143973368311,0.05563974360410043,0.0030644670240901496,unweighted,0.9999999999999987,0.011207618018514191,8192,337420288,0.005383880171463851,0,268435456,1.8793055191636086,3,completed,512,20.0,0.3494427740942976,0.07196224202021309
